width,height,max_iter,c_real,c_imag,cpu_ms,opencl_ms,speedup
//Fix iteráció (500) - Felbontás hatása (800 x 600)
800,600,500,-0.7000000000,0.2701500000,596.965088,1021.447998,0.584430
800,600,500,-0.7000000000,0.2701500000,457.315918,914.092041,0.500295
800,600,500,-0.7000000000,0.2701500000,386.401123,1010.383789,0.382430
800,600,500,-0.7000000000,0.2701500000,430.322998,929.335938,0.463044
800,600,500,-0.7000000000,0.2701500000,682.080811,799.703125,0.852918
800,600,500,-0.7000000000,0.2701500000,480.291992,895.643066,0.536254
800,600,500,-0.7000000000,0.2701500000,746.572021,986.135010,0.757069
800,600,500,-0.7000000000,0.2701500000,691.868164,1022.063965,0.676932
800,600,500,-0.7000000000,0.2701500000,486.341064,865.397949,0.561985
800,600,500,-0.7000000000,0.2701500000,446.628174,1138.220947,0.392391

//Fix iteráció (500) - Felbontás hatása (1280 x 720)
1280,720,500,-0.7000000000,0.2701500000,847.859863,919.854004,0.921733
1280,720,500,-0.7000000000,0.2701500000,882.778076,831.181885,1.062076
1280,720,500,-0.7000000000,0.2701500000,969.805908,815.411133,1.189346
1280,720,500,-0.7000000000,0.2701500000,1140.677979,942.979004,1.209654
1280,720,500,-0.7000000000,0.2701500000,1243.777100,911.932129,1.363892
1280,720,500,-0.7000000000,0.2701500000,1156.833008,926.130859,1.249103
1280,720,500,-0.7000000000,0.2701500000,965.002197,1090.937012,0.884563
1280,720,500,-0.7000000000,0.2701500000,1012.277100,1011.590820,1.000678
1280,720,500,-0.7000000000,0.2701500000,1037.022949,875.187012,1.184916
1280,720,500,-0.7000000000,0.2701500000,1301.886963,975.286865,1.334876

//Fix iteráció (500) - Felbontás hatása (1920 x 1080)
1920,1080,500,-0.7000000000,0.2701500000,1894.794189,1082.288818,1.750729
1920,1080,500,-0.7000000000,0.2701500000,1808.165039,1051.624023,1.719403
1920,1080,500,-0.7000000000,0.2701500000,1998.007080,934.958984,2.137000
1920,1080,500,-0.7000000000,0.2701500000,2133.666992,987.077148,2.161601
1920,1080,500,-0.7000000000,0.2701500000,2288.091064,1004.183838,2.278558
1920,1080,500,-0.7000000000,0.2701500000,2951.392090,987.152832,2.989803
